Scrap_ID,NO_of_Scrap,scrap_issue_id,created_date,updated_date
00077,1,4,2024-01-06,2024-01-06
00077,2,2,2024-01-06,2024-01-06
00078,10,1,2024-01-06,2024-01-06
00079,13,1,2024-01-06,2024-01-06
00080,7,3,2024-01-06,2024-01-06
00081,0,5,2024-01-06,2024-01-06
00082,0,5,2024-01-06,2024-01-06
00083,0,5,2024-01-06,2024-01-06
00084,0,5,2024-01-06,2024-06-06
00085,11,1,2024-01-06,2024-06-06
00086,0,5,2024-01-06,2024-06-06
00087,1,2,2024-01-06,2024-06-06
00088,0,5,2024-01-06,2024-06-06
00089,0,5,2024-01-06,2024-06-06
00090,1,2,2024-01-06,2024-06-06
00091,0,5,2024-01-06,2024-06-06
00092,0,5,2024-01-06,2024-06-06
00093,0,5,2024-01-06,2024-06-06
00094,3,4,2024-01-06,2024-06-06
00095,0,4,2024-01-06,2024-06-06
00096,0,3,2024-01-06,2024-06-06
00097,1,2,2024-01-06,2024-06-06
00098,3,5,2024-01-06,2024-06-06
00099,1,5,2024-01-06,2024-06-06
00100,0,1,2024-01-06,2024-06-06
00101,0,2,2024-01-06,2024-06-06
00102,5,1,2024-01-06,2024-06-06
00103,0,5,2024-01-06,2024-06-06
00104,0,5,2024-01-06,2024-06-06
00105,6,5,2024-01-06,2024-06-06
00106,0,5,2024-01-06,2024-06-06
00107,0,5,2024-01-06,2024-06-06
00108,0,5,2024-01-06,2024-06-06
00109,10,1,2024-01-06,2024-06-06
00109,3,4,2024-01-06,2024-06-06
00109,2,3,2024-01-06,2024-01-06
00109,2,2,2024-01-06,2024-01-06
00110,1,5,2024-01-06,2024-01-06
00111,0,5,2024-01-06,2024-01-06
00112,3,4,2024-01-06,2024-01-06
00112,4,2,2024-01-06,2024-01-06
00112,8,1,2024-01-06,2024-01-06
00113,9,2,2024-01-06,2024-01-06
00114,10,1,2024-01-06,2024-01-06
00115,0,5,2024-01-06,2024-06-06
00116,0,5,2024-01-06,2024-06-06
00117,0,5,2024-01-06,2024-06-06
00118,0,5,2024-01-06,2024-06-06
00119,0,5,2024-01-06,2024-06-06
00120,1,2,2024-01-06,2024-06-06
00121,0,5,2024-01-06,2024-06-06
00122,11,1,2024-01-06,2024-06-06
00123,0,5,2024-01-06,2024-06-06
00124,0,5,2024-01-06,2024-06-06
00125,0,5,2024-01-06,2024-06-06
00126,6,1,2024-01-06,2024-06-06
00127,2,2,2024-01-06,2024-06-06
00128,3,4,2024-01-06,2024-06-06
00129,1,2,2024-01-06,2024-06-06
00130,3,1,2024-01-06,2024-06-06
00131,0,3,2024-01-06,2024-06-06
00132,11,1,2024-01-06,2024-06-06
00133,0,5,2024-01-06,2024-06-06
00134,0,5,2024-01-06,2024-06-06
00135,8,2,2024-01-06,2024-06-06
00136,0,5,2024-01-06,2024-06-06
00137,1,1,2024-01-06,2024-06-06
00138,11,1,2024-01-06,2024-06-06
00139,0,5,2024-01-06,2024-06-06
00140,0,5,2024-01-06,2024-06-06
00141,0,5,2024-01-06,2024-06-06
00142,3,3,2024-01-06,2024-06-06
00142,3,2,2024-01-06,2024-06-06
00142,1,4,2024-01-06,2024-06-06
00142,5,2,2024-01-06,2024-06-06
00142,9,1,2024-01-06,2024-06-06
00143,7,1,2024-01-06,2024-06-06
00143,3,3,2024-01-06,2024-06-06
00143,5,2,2024-01-06,2024-06-06
00144,1,3,2024-01-06,2024-06-06
00144,3,4,2024-01-06,2024-06-06
00144,5,2,2024-01-06,2024-06-06
00144,9,1,2024-01-06,2024-06-06
00145,0,5,2024-01-06,2024-06-06
00146,0,5,2024-01-06,2024-06-06
00147,0,5,2024-01-06,2024-06-06
00148,7,1,2024-01-06,2024-06-06
00149,13,1,2024-01-06,2024-06-06
00150,5,2,2024-01-06,2024-06-06
00151,0,5,2024-01-06,2024-06-06
00152,0,5,2024-01-06,2024-06-06
00153,3,3,2024-01-06,2024-06-06
00154,1,4,2024-01-06,2024-06-06
00155,0,5,2024-01-06,2024-06-06
00156,0,2,2024-01-06,2024-06-06
00157,3,5,2024-01-06,2024-06-06
00158,0,5,2024-01-06,2024-06-06
00159,8,2,2024-01-06,2024-06-06
00160,0,5,2024-01-06,2024-06-06
00161,0,5,2024-01-06,2024-06-06
00162,0,5,2024-01-06,2024-06-06
00163,0,5,2024-01-06,2024-06-06
00164,0,5,2024-01-06,2024-06-06
00165,2,3,2024-01-06,2024-06-06
00166,4,4,2024-01-06,2024-06-06
00166,5,2,2024-01-06,2024-06-06
00166,8,1,2024-01-06,2024-06-06
00167,0,5,2024-01-06,2024-06-06
00168,2,3,2024-01-06,2024-06-06
00168,3,3,2024-01-06,2024-06-06
00168,10,1,2024-01-06,2024-06-06
00169,2,2,2024-01-06,2024-06-06
00170,5,3,2024-01-06,2024-06-06
00171,8,3,2024-01-06,2024-06-06
00172,2,2,2024-01-06,2024-06-06
00173,0,5,2024-01-06,2024-06-06
00174,0,5,2024-01-06,2024-06-06
00175,0,5,2024-01-06,2024-06-06
00176,0,5,2024-01-06,2024-06-06
00177,2,3,2024-01-06,2024-06-06
00178,0,5,2024-01-06,2024-06-06
00179,0,5,2024-01-06,2024-06-06
00180,0,5,2024-01-06,2024-06-06
00181,3,4,2024-01-06,2024-06-06
00182,0,5,2024-01-06,2024-06-06
00183,1,5,2024-01-06,2024-06-06
00184,3,4,2024-01-06,2024-06-06
00184,6,2,2024-01-06,2024-06-06
00184,7,1,2024-01-06,2024-06-06
00185,0,5,2024-01-06,2024-06-06
00186,11,1,2024-01-06,2024-06-06
00187,5,3,2024-01-06,2024-06-06
00188,1,5,2024-01-06,2024-06-06
00189,0,5,2024-01-06,2024-06-06
00190,0,5,2024-01-06,2024-06-06
00191,0,5,2024-01-06,2024-06-06
00192,0,5,2024-01-06,2024-06-06
00193,0,5,2024-01-06,2024-06-06
00194,0,5,2024-01-06,2024-06-06
00195,2,1,2024-01-06,2024-06-06
00196,0,5,2024-01-06,2024-06-06
00197,0,5,2024-01-06,2024-06-06

